player_id,Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Matches,league,saison
82e12fe7,1,Junior Adamu,AUT,FW,Freiburg,23,2001,25,19,1545,17.2,2,2,4,2,0,0,5,1,0.12,0.12,0.23,0.12,0.23,Matches,bundesliga,2024-2025
501055d8,2,Karim Adeyemi,GER,"MF,FW",Dortmund,22,2002,25,17,1433,15.9,7,6,13,7,0,0,4,0,0.44,0.38,0.82,0.44,0.82,Matches,bundesliga,2024-2025
dcfb17f4,3,Amine Adli,MAR,"MF,FW",Leverkusen,24,2000,20,6,766,8.5,2,0,2,2,0,0,3,0,0.23,0.0,0.23,0.23,0.23,Matches,bundesliga,2024-2025
5054c359,4,Oladapo Afolayan,ENG,"FW,MF",St Pauli,26,1998,32,17,1639,18.2,3,1,4,3,0,0,3,0,0.16,0.05,0.22,0.16,0.22,Matches,bundesliga,2024-2025
cb6d81b3,5,Felix Agu,NGA,MF,Werder Bremen,24,1999,22,21,1751,19.5,3,0,3,3,0,0,1,0,0.15,0.0,0.15,0.15,0.15,Matches,bundesliga,2024-2025
f6b692c0,6,Erik Ahlstrand,SWE,MF,St Pauli,22,2001,5,0,43,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,bundesliga,2024-2025
6ec6fde0,7,Kevin Akpoguma,NGA,DF,Hoffenheim,29,1995,32,23,2220,24.7,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,Matches,bundesliga,2024-2025
94471fb7,8,Andreas Albers,DEN,"FW,MF",St Pauli,34,1990,14,0,62,0.7,1,0,1,1,0,0,0,0,1.45,0.0,1.45,1.45,1.45,Matches,bundesliga,2024-2025
ee8ad906,9,Ben Alexander Voll,GER,GK,St Pauli,23,2000,2,1,91,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,bundesliga,2024-2025
add37c13,10,Skelly Alvero,FRA,MF,Werder Bremen,22,2002,12,1,236,2.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,bundesliga,2024-2025
1227a22d,11,Aurele Amenda,SUI,DF,Eintracht Frankfurt,21,2003,8,1,96,1.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,bundesliga,2024-2025
555d5edd,12,Nadiem Amiri,GER,MF,Mainz 05,27,1996,30,30,2473,27.5,7,5,12,5,2,2,9,2,0.25,0.18,0.44,0.18,0.36,Matches,bundesliga,2024-2025
6597f8b6,13,Mohamed Amoura,ALG,"FW,MF",Wolfsburg,24,2000,31,29,2467,27.4,10,9,19,8,2,2,6,0,0.36,0.33,0.69,0.29,0.62,Matches,bundesliga,2024-2025
e0b113a7,14,Robert Andrich,GER,"MF,DF",Leverkusen,29,1994,23,19,1598,17.8,2,2,4,2,0,0,7,0,0.11,0.11,0.23,0.11,0.23,Matches,bundesliga,2024-2025
5e66fa06,15,Waldemar Anton,GER,DF,Dortmund,28,1996,26,22,1949,21.7,2,2,4,2,0,0,4,0,0.09,0.09,0.18,0.09,0.18,Matches,bundesliga,2024-2025
86e119e0,16,Maximilian Arnold,GER,MF,Wolfsburg,30,1994,28,27,2356,26.2,3,5,8,3,0,0,7,1,0.11,0.19,0.31,0.11,0.31,Matches,bundesliga,2024-2025
c21fb312,17,Jann-Fiete Arp,GER,FW,Holstein Kiel,24,2000,23,3,713,7.9,2,0,2,1,1,2,8,1,0.25,0.0,0.25,0.13,0.13,Matches,bundesliga,2024-2025
